"Date","Year","Month","Day","Game_Type","Dow","Away_Team","Away_League","Away_Game_Number","Home_Team","Home_League","Home_Game_Number","Away_Score","Home_Score","Home_Away_Winner","Team_Winner","Game_Outs","Day_Night","Completion_Info","Forfeit_Info","Protest_Info","ParkID","Attendance","Game_Length","Away_Line","Home_Line","Away_AB","Away_H","Away_2B","Away_3B","Away_HR","Away_RBI","Away_SAC","Away_SF","Away_HBP","Away_BB","Away_IBB","Away_K","Away_SB","Away_CS","Away_GIDP","Away_CI","Away_LOB","Away_Pitchers","Away_ER","Away_WP","Away_BLK","Away_PO","Away_A","Away_E","Away_PB","Away_DP","Away_TP","Home_AB","Home_H","Home_2B","Home_3B","Home_HR","Home_RBI","Home_SAC","Home_SF","Home_HBP","Home_BB","Home_IBB","Home_K","Home_SB","Home_CS","Home_GIDP","Home_CI","Home_LOB","Home_Pitchers","Home_ER","Home_WP","Home_BLK","Home_PO","Home_A","Home_E","Home_PB","Home_DP","Home_TP","HP_Ump_ID","HP_Ump_Name","X1B_Ump_ID","X1B_Ump_Name","X2B_Ump_ID","X2B_Ump_Name","X3B_Ump_ID","X3B_Ump_Name","LF_Ump_ID","LF_Ump_Name","RF_Ump_ID","RF_Ump_Name","Away_Manage_ID","Away_Manage_Name","Home_Manage_ID","Home_Manage_Name","Winning_Pitcher_ID","Winning_Pitcher_Name","Losing_Pitcher_ID","Losing_Pitcher_Name","Save","Save_Pitcher_ID","Save_Pitcher_Name","GWRBI_ID","GWRBI_Name","Away_SP_ID","Away_SP_Name","Home_SP_ID","Home_SP_Name","Away_Win_Percentage","Away_Playoffs","Away_WS","Away_Win_P_Cat","Team","Home_Win_Percentage","Home_Playoffs","Home_WS","Home_Win_P_Cat","Away_SP_WAR","Home_SP_WAR","Home","MON_win","Opp_Win_Percentage","Opp_Playoffs","Opp_WS","Opp_Win_P_Cat"
20040417,2004,4,17,0,"Sat","MON","NL",11,"PHI","NL",10,3,6,"Home","PHI",51,"D",NA,"","","PHI13",42931,142,"10200000","30020001x",34,7,2,"0",1,3,0,0,1,0,0,9,0,0,0,0,5,5,6,0,0,24,8,0,0,1,0,30,7,1,0,4,6,0,0,0,2,0,4,0,0,1,0,2,3,3,0,0,27,9,0,0,0,0,"iassd901","Dan Iassogna","relic901","Charlie Reliford","kellj901","Jeff Kellogg","eddid901","Doug Eddings","","(none)","","(none)","robif103","Frank Robinson","bowal001","Larry Bowa","millk004","Kevin Millwood","pattj004","John Patterson","Save","wagnb001","Billy Wagner","belld002","David Bell","pattj004","John Patterson","millk004","Kevin Millwood",0.414,0,0,"Bad","Philadelphia Phillies",0.531,0,0,"Good",0.1,0.7,0,0,0.531,0,0,"Good"
20040418,2004,4,18,0,"Sun","MON","NL",12,"PHI","NL",11,4,5,"Home","PHI",51,"D",NA,"","","PHI13",43791,175,"300000100","10120001",34,9,1,"1",2,4,0,0,0,2,1,6,1,0,2,0,5,4,5,2,0,24,6,0,0,1,0,31,8,2,1,2,4,0,0,0,5,0,8,1,0,1,0,7,4,4,0,0,27,11,0,0,2,0,"relic901","Charlie Reliford","kellj901","Jeff Kellogg","eddid901","Doug Eddings","iassd901","Dan Iassogna","","(none)","","(none)","robif103","Frank Robinson","bowal001","Larry Bowa","wagnb001","Billy Wagner","biddr001","Rocky Biddle","No Save","","(none)","gland001","Doug Glanville","vargc001","Claudio Vargas","wolfr001","Randy Wolf",0.414,0,0,"Bad","Philadelphia Phillies",0.531,0,0,"Good",-0.5,1.1,0,0,0.531,0,0,"Good"
20040419,2004,4,19,0,"Mon","MON","NL",13,"NYN","NL",13,1,4,"Home","NYN",51,"N",NA,"","","NYC17",14002,176,"10000","02110000x",37,10,0,"0",0,0,0,0,0,3,0,3,1,0,1,0,12,4,3,0,0,24,8,1,0,1,0,31,8,3,0,2,4,0,1,1,3,0,6,0,0,1,0,8,4,1,0,0,27,13,1,0,1,0,"crawj901","Jerry Crawford","onorb901","Brian O'Nora","cuzzp901","Phil Cuzzi","hoyej901","James Hoye","","(none)","","(none)","robif103","Frank Robinson","howea001","Art Howe","yatet001","Tyler Yates","ohkat001","Tomo Ohka","Save","loopb001","Braden Looper","wiggt001","Ty Wigginton","ohkat001","Tomo Ohka","yatet001","Tyler Yates",0.414,0,0,"Bad","New York Mets",0.438,0,0,"Bad",1,-0.8,0,0,0.438,0,0,"Bad"
20040420,2004,4,20,0,"Tue","MON","NL",14,"NYN","NL",14,2,1,"Away","MON",54,"N",NA,"","","NYC17",14513,163,"1010","100000000",35,8,0,"0",1,2,0,0,1,2,0,4,1,0,0,0,9,3,1,0,0,27,13,0,0,0,0,31,4,2,0,0,1,0,0,0,2,1,7,0,0,0,0,5,3,2,0,0,27,11,1,0,0,0,"onorb901","Brian O'Nora","cuzzp901","Phil Cuzzi","hoyej901","James Hoye","crawj901","Jerry Crawford","","(none)","","(none)","robif103","Frank Robinson","howea001","Art Howe","day-z001","Zach Day","weatd001","David Weathers","Save","biddr001","Rocky Biddle","vidrj001","Jose Vidro","day-z001","Zach Day","leita001","Al Leiter",0.414,0,0,"Bad","New York Mets",0.438,0,0,"Bad",1.7,4.9,0,1,0.438,0,0,"Bad"
20040421,2004,4,21,0,"Wed","MON","NL",15,"NYN","NL",15,2,1,"Away","MON",54,"N",NA,"","","NYC17",23565,154,"20000","10000000",33,6,1,"0",0,2,0,1,0,2,0,4,0,0,0,0,7,3,1,0,0,27,15,0,0,1,0,31,8,3,0,0,1,1,0,1,3,0,7,0,1,0,0,8,2,1,0,0,27,10,2,0,0,0,"cuzzp901","Phil Cuzzi","hoyej901","James Hoye","crawj901","Jerry Crawford","onorb901","Brian O'Nora","","(none)","","(none)","robif103","Frank Robinson","howea001","Art Howe","hernl003","Livan Hernandez","glavt001","Tom Glavine","Save","biddr001","Rocky Biddle","vidrj001","Jose Vidro","hernl003","Livan Hernandez","glavt001","Tom Glavine",0.414,0,0,"Bad","New York Mets",0.438,0,0,"Bad",4.9,4,0,1,0.438,0,0,"Bad"
20040422,2004,4,22,0,"Thu","MON","NL",16,"NYN","NL",16,2,3,"Home","NYN",51,"D",NA,"","","NYC17",15062,176,"101","00100020x",33,5,0,"0",1,1,0,0,0,3,0,6,0,0,1,0,7,5,3,0,0,24,8,1,0,0,0,31,6,4,0,0,3,0,0,2,6,1,5,0,0,0,0,12,3,1,0,0,27,8,2,0,1,0,"hoyej901","James Hoye","crawj901","Jerry Crawford","onorb901","Brian O'Nora","cuzzp901","Phil Cuzzi","","(none)","","(none)","robif103","Frank Robinson","howea001","Art Howe","tracs001","Steve Trachsel","bentc001","Chad Bentz","Save","loopb001","Braden Looper","piazm001","Mike Piazza","pattj004","John Patterson","tracs001","Steve Trachsel",0.414,0,0,"Bad","New York Mets",0.438,0,0,"Bad",0.1,2.9,0,0,0.438,0,0,"Bad"
20040423,2004,4,23,0,"Fri","PHI","NL",15,"MON","NL",17,8,6,"Away","PHI",54,"N",NA,"","","MON02",30112,205,"410000111","100004001",39,12,5,"0",2,8,0,0,1,6,3,7,1,0,1,0,11,4,4,0,0,27,10,2,0,0,0,39,12,4,1,0,5,0,0,0,2,1,5,2,0,0,0,8,6,8,1,0,27,9,1,0,1,0,"scotd901","Dale Scott","hollm901","Matt Hollowell","gormb901","Brian Gorman","millb901","Bill Miller","","(none)","","(none)","bowal001","Larry Bowa","robif103","Frank Robinson","millk004","Kevin Millwood","bentc001","Chad Bentz","Save","wagnb001","Billy Wagner","belld002","David Bell","millk004","Kevin Millwood","vargc001","Claudio Vargas",0.531,0,0,"Good","Montreal Expos",0.414,0,0,"Bad",0.7,-0.5,1,0,0.531,0,0,"Good"
20040424,2004,4,24,0,"Sat","PHI","NL",16,"MON","NL",18,7,0,"Away","PHI",54,"D",NA,"","","MON02",6899,161,"31001101","0",41,17,5,"0",1,6,2,0,0,5,1,5,0,0,1,0,14,1,0,0,0,27,14,0,0,3,0,28,4,0,0,0,0,0,0,1,1,0,3,0,0,3,0,3,3,6,0,0,27,10,0,1,1,0,"hollm901","Matt Hollowell","gormb901","Brian Gorman","millb901","Bill Miller","scotd901","Dale Scott","","(none)","","(none)","bowal001","Larry Bowa","robif103","Frank Robinson","wolfr001","Randy Wolf","ohkat001","Tomo Ohka","No Save","","(none)","rollj001","Jimmy Rollins","wolfr001","Randy Wolf","ohkat001","Tomo Ohka",0.531,0,0,"Good","Montreal Expos",0.414,0,0,"Bad",1.1,1,1,0,0.531,0,0,"Good"
20040425,2004,4,25,0,"Sun","PHI","NL",17,"MON","NL",19,0,2,"Home","MON",51,"D",NA,"","","MON02",8267,145,"0","00000200x",32,9,3,"0",0,0,1,0,0,2,0,2,0,0,2,0,8,3,2,0,0,24,14,0,0,0,0,25,5,1,1,0,2,1,0,0,4,0,4,1,2,0,0,4,2,0,0,0,27,17,0,0,2,0,"gormb901","Brian Gorman","millb901","Bill Miller","scotd901","Dale Scott","hollm901","Matt Hollowell","","(none)","","(none)","bowal001","Larry Bowa","robif103","Frank Robinson","day-z001","Zach Day","padiv001","Vicente Padilla","Save","biddr001","Rocky Biddle","cepim001","Matthew Cepicky","padiv001","Vicente Padilla","day-z001","Zach Day",0.531,0,0,"Good","Montreal Expos",0.414,0,0,"Bad",0.8,1.7,1,1,0.531,0,0,"Good"
20040426,2004,4,26,0,"Mon","MON","NL",20,"SDN","NL",20,2,3,"Home","SDN",53,"N",NA,"","","SAN02",25438,164,"2000","200001",33,8,2,"0",0,2,1,0,0,1,0,9,2,0,1,0,6,3,3,0,0,26,9,0,0,0,0,32,8,0,0,0,3,1,0,0,3,0,7,1,1,0,0,7,4,2,0,0,27,11,1,0,1,0,"brinj901","Joe Brinkman","tscht901","Tim Tschida","nelsj901","Jeff Nelson","fostm901","Marty Foster","","(none)","","(none)","robif103","Frank Robinson","bochb002","Bruce Bochy","otsua001","Akinori Otsuka","ayall001","Luis Ayala","No Save","","(none)","ojedm001","Miguel Ojeda","hernl003","Livan Hernandez","peavj001","Jake Peavy",0.414,0,0,"Bad","San Diego Padres",0.537,0,0,"Good",4.9,4.9,0,0,0.537,0,0,"Good"
