"Team","estimate","std.error","statistic","conf.low","conf.high","s.value","predicted_lo","predicted_hi","predicted","CI_Crosses_Zero"
"ANA",0.0529815598413825,0.0199352640990982,2.65768035868555,0.0139091601848558,0.0920539594979093,6.98977856629866,0.522822816578705,0.442792863527185,0.442792863527185,FALSE
"DET",0.0790868833661619,0.0187247196368034,4.22366181711565,0.0423871072574174,0.115786659474906,15.3444157613453,0.547089411530944,0.441860144115662,0.441860144115662,FALSE
"KCA",0.0193027652255683,0.0189637510312388,1.01787695871829,-0.0178655038074441,0.0564710342585806,1.6955523548772,0.315855447746747,0.414396109638677,0.414396109638677,TRUE
"PHI",0.048838780866185,0.0176797800933235,2.76240884266587,0.0141870486286827,0.0834905131036873,7.44532227687209,0.489753205379944,0.508410908071598,0.508410908071598,FALSE
"WAS",0.0906135059329823,0.0230527328885118,3.93070558580667,0.0454309797262772,0.135796032139687,13.5273307038823,0.375305959407991,0.327912321970234,0.327912321970234,FALSE
"BOS",0.0814202621389188,0.0183023733987879,4.44861769372003,0.0455482694456905,0.117292254832147,16.8201250736534,0.482617192692734,0.359228609156007,0.359228609156007,FALSE
"CIN",0.00867608223835829,0.018859317738259,0.460042211429394,-0.0282875013016268,0.0456396657783434,0.631542463523547,0.582954191988369,0.531492521265491,0.531492521265491,TRUE
"SDN",0.0575746382669693,0.0207840158749018,2.770140218017,0.0168387156980531,0.0983105608358855,7.47952904077408,0.377094249553142,0.772591636437113,0.772591636437113,FALSE
"SFN",0.0972433567685788,0.0193336636518547,5.02974286300105,0.0593500723217325,0.135136641215425,20.9573680767888,0.578557027763687,0.718434907716583,0.718434907716583,FALSE
"SLN",0.0949073219204406,0.0182618326235791,5.1970316384293,0.0591147876865271,0.130699856154354,22.235603895539,0.315127575041971,0.580956673930751,0.580956673930751,FALSE
"CLE",0.0784442404838748,0.0195890165560338,4.00450120910805,0.0400504735414898,0.11683800742626,13.9739215232832,0.48460146123549,0.606238841189041,0.606238841189041,FALSE
"HOU",0.0789141783172122,0.0185880734455793,4.24541997578452,0.0424822238218914,0.115346132812533,15.4840927251837,0.52077466566293,0.575009375597742,0.575009375597742,FALSE
"MIA",0.0650663865458292,0.0189562931613205,3.43244251352867,0.0279127346692582,0.1022200384224,10.7071551864243,0.411721350195277,0.59819234834979,0.59819234834979,FALSE
"MIL",0.0514169650772165,0.0199518082077374,2.57705790582313,0.0123121395636005,0.0905217905908324,6.64898315951823,0.461690584070346,0.711780700907362,0.711780700907362,FALSE
"ARI",0.0922049442590263,0.0201614134551191,4.57333730416679,0.0526893000095717,0.131720588508481,17.6684847527835,0.363419636163551,0.509594201606396,0.509594201606396,FALSE
"NYA",0.10358685679338,0.022074635969481,4.69257372744867,0.0603213653213649,0.146852348265395,18.4997356597097,0.534549440976418,0.741873057699727,0.741873057699727,FALSE
"OAK",0.0970916061741193,0.0184245180844178,5.26969583297992,0.0609802142961536,0.133202998052085,22.8030110941066,0.630350280301498,0.372569125769308,0.372569125769308,FALSE
"SEA",0.0341341075884004,0.017980367321111,1.89840991448062,-0.0011067647897781,0.0693749799665788,4.11673317864251,0.481785101389,0.586040742201378,0.586040742201378,TRUE
"TBA",0.0840110196434162,0.0193433743674109,4.34314189694615,0.0460987025438157,0.121923336743017,16.1194878411153,0.479791321956433,0.532954490891371,0.532954490891371,FALSE
"TEX",0.0957842162840154,0.0196325061215613,4.87885834294078,0.0573052113594931,0.134263221208538,19.8379859223372,0.396914309891423,0.520530313761311,0.520530313761311,FALSE
"ATL",0.0812120688798371,0.0195146712282063,4.16159042241276,0.0429640161024128,0.119460121657261,14.9495387370208,0.581188796856813,0.498873993038545,0.498873993038545,FALSE
"BAL",0.0429240605849694,0.0186456296086028,2.30209767575588,0.00637929808303433,0.0794688230869044,5.55099491817386,0.402309137732266,0.569365618545848,0.569365618545848,FALSE
"CHA",0.0799634102771998,0.0173500986036189,4.6088158980561,0.0459578418858881,0.113968978668512,17.9137580988845,0.523981724373261,0.608030723844885,0.608030723844885,FALSE
"MIN",0.0715808469762712,0.0181682192138022,3.93989340033348,0.0359717916539902,0.107189902298552,13.5825249432264,0.283449322680725,0.559889692581223,0.559889692581223,FALSE
"TOR",0.0834401606752073,0.0200959543768924,4.15208748538722,0.0440528138615382,0.122827507488876,14.889553529239,0.589675743986622,0.497985591128624,0.497985591128624,FALSE
"CHN",0.0654629195512675,0.0280915237828647,2.33034420123548,0.0104045446660023,0.120521294436533,5.65923283823503,0.529396491084998,0.422087106622674,0.422087106622674,FALSE
"COL",0.144137424406096,0.0193939462844713,7.43208330537177,0.106125988170428,0.182148860641764,43.0887974949367,0.534419349337044,0.537037238240807,0.537037238240807,FALSE
"LAN",0.112341627352706,0.0202353444129934,5.55175266898694,0.0726810810884754,0.152002173616937,25.0755428802343,0.563685716624662,0.419141900700797,0.419141900700797,FALSE
"NYN",0.0750516501098373,0.0185814776356916,4.03905715042149,0.0386326231643452,0.111470677055329,14.1856189618887,0.437227471728758,0.399877489143773,0.399877489143773,FALSE
"PIT",0.0580674035429264,0.0189949679937055,3.0569887541884,0.0208379503877725,0.0952968566980802,8.80504048454904,0.628770476618058,0.426169231431109,0.426169231431109,FALSE
