"Team","estimate","std.error","statistic","conf.low","conf.high","s.value","predicted_lo","predicted_hi","predicted","CI_Crosses_Zero"
"ANA",0.0557726875436509,0.022371530454939,2.49302065658802,0.0119252935729295,0.0996200815143723,6.30287837866598,0.487791679509078,0.58231468970318,0.487791679509078,FALSE
"DET",0.0867125683880809,0.0195949441815138,4.42525212548893,0.0483071835132411,0.125117953262921,16.6635877499191,0.398383192305741,0.623919623853015,0.398383192305741,FALSE
"KCA",0.0584314794260238,0.0267813953479654,2.18179369173395,0.00594090908828304,0.110922049763765,5.1016099112508,0.471368119941114,0.457120084498469,0.471368119941114,FALSE
"PHI",0.06070202007785,0.0189538862676765,3.20261603454748,0.0235530856261358,0.0978509545295643,9.52021198436845,0.494352520784385,0.423303242479396,0.494352520784385,FALSE
"WAS",0.0586661778233321,0.0253044552039684,2.31841299685961,0.0090703569751469,0.108261998671517,5.61338687553069,0.457835565611122,0.474323047893897,0.457835565611122,FALSE
"BOS",0.044196165617264,0.0265463616850606,1.66486715360833,-0.00783374720602882,0.0962260784405569,3.38173483897593,0.453084781866321,0.483188855765513,0.453084781866321,TRUE
"CIN",0.0370312887433966,0.0237367699143265,1.56008121058822,-0.0094919253979972,0.0835545028847904,3.07411367909521,0.441975783405185,0.392658700870842,0.441975783405185,TRUE
"SDN",0.0713314450352321,0.0197257291812813,3.61616264624185,0.0326697262711301,0.109993163799334,11.7075546029454,0.41060468879725,0.59068407581274,0.41060468879725,FALSE
"SFN",0.083876217249127,0.0220606474687393,3.80207413984484,0.0406381427347633,0.127114291763491,12.7667644809105,0.444991503308269,0.475127935220987,0.444991503308269,FALSE
"SLN",0.0898366823791676,0.0279125927218253,3.21850009687286,0.0351290059292552,0.14454435882908,9.59994701204632,0.456104597112125,0.513450783992922,0.456104597112125,FALSE
"CLE",0.0772638037241575,0.0182779835475456,4.22715139901373,0.0414396142609524,0.113087993187363,15.366773188033,0.447992568864083,0.675020071088991,0.447992568864083,FALSE
"HOU",0.0697417711556398,0.0197448593026752,3.53214829675645,0.0310425580425859,0.108440984268694,11.2443744294839,0.393518992951001,0.492896941798955,0.393518992951001,FALSE
"MIA",0.126953142932645,0.0299554034828291,4.23807153875984,0.0682416309639346,0.185664654901356,15.4368461568691,0.41119395707149,0.648333292721552,0.41119395707149,FALSE
"MIL",0.0856846322426863,0.0199958444632718,4.28512196121904,0.0464934972542088,0.124875767231164,15.7406458685782,0.452335736528605,0.50766513999437,0.452335736528605,FALSE
"ARI",0.0490428073798523,0.0223536701663823,2.1939487795435,0.00523041893145554,0.0928551958282491,5.14616248730658,0.440533006038736,0.542686884748446,0.440533006038736,FALSE
"NYA",0.0621405418666574,0.0313188360562463,1.98412679689174,0.000756751158700268,0.123524332574615,4.40379510929218,0.537568611423479,0.577797681408385,0.537568611423479,FALSE
"OAK",0.0908917846464076,0.0258740038953634,3.5128612105796,0.0401796688756463,0.141603900417169,11.1393998019173,0.422460036574397,0.68932018831543,0.422460036574397,FALSE
"SEA",0.0683367057746091,0.0180792656485667,3.77983857878801,0.0329019962364862,0.103771415312732,12.6375906083757,0.353028626312145,0.589364840863709,0.353028626312145,FALSE
"TBA",0.0895128743297626,0.035983607204541,2.4876014742198,0.0189863001750262,0.160039448484499,6.28087851190672,0.490775536849672,0.45331079855825,0.490775536849672,FALSE
"TEX",0.0872771933425567,0.0206464610815284,4.22722291233921,0.0468108732145531,0.12774351347056,15.3672315430861,0.414823453542128,0.508620930997682,0.414823453542128,FALSE
"ATL",0.0616141474777329,0.0209500185092821,2.94100682777125,0.0205528657240924,0.102675429231373,8.25584382061395,0.499004474391888,0.755825637766227,0.499004474391888,FALSE
"BAL",0.0819857892414005,0.0197619516149232,4.14866865575611,0.0432530758119279,0.120718502670873,14.8680033803762,0.443389267529134,0.460441840653966,0.443389267529134,FALSE
"CHA",0.0657745130229409,0.0229656006405062,2.86404497110906,0.0207627628842187,0.110786263161663,7.90135450525545,0.517294750949873,0.432597549018787,0.517294750949873,FALSE
"MIN",0.0791888377742726,0.0202305702672162,3.91431564846191,0.0395376486638221,0.118840026884723,13.4291588248098,0.435010243683863,0.497739455222969,0.435010243683863,FALSE
"TOR",0.104264062980521,0.0266791748993856,3.9080692477833,0.05197384104048,0.156554284920561,13.3918414320837,0.450047312215311,0.53563102645378,0.450047312215311,FALSE
"CHN",-0.00279621907265118,0.0473771074022282,-0.0590204684492763,-0.0956536432727044,0.0900612051274021,0.069549065259562,0.467886184970122,0.602215959875372,0.467886184970122,TRUE
"COL",0.121664993837686,0.0226012585925967,5.38310702208144,0.0773673409909199,0.165962646684452,23.7033647409165,0.362615384608396,0.453959790395533,0.362615384608396,FALSE
"LAN",0.0428580848137019,0.0393854387956825,1.08817080942107,-0.0343359567411424,0.120052126368546,1.8545457840755,0.586881068968154,0.606318418852987,0.586881068968154,TRUE
"NYN",0.0547387433816967,0.0194333385414817,2.81674418756475,0.0166500997410184,0.0928273870223751,7.68740845898281,0.591281010826362,0.492937392229383,0.591281010826362,FALSE
"PIT",0.14943628815286,0.0257080648745941,5.81281745171492,0.0990494068864363,0.199823169419284,27.2784085434642,0.313047176529249,0.574173116515729,0.313047176529249,FALSE
