"Team","estimate","std.error","statistic","conf.low","conf.high","s.value","predicted_lo","predicted_hi","predicted","CI_Crosses_Zero"
"ANA",0.0751677138912737,0.0205327618112914,3.66086718299813,0.0349242402380033,0.115411187544544,11.9579398277916,0.542562859379909,0.485222544956745,0.542562859379909,FALSE
"DET",0.0889223987796297,0.0182432185734351,4.87427141333021,0.0531663474136046,0.124678450145655,19.8044535944495,0.452122272469498,0.380108032802344,0.452122272469498,FALSE
"KCA",0.070045668674781,0.0188380755551937,3.71830277830419,0.0331237190485569,0.106967618301005,12.2836368326727,0.512487398225443,0.412660121565998,0.512487398225443,FALSE
"PHI",0.0804325288204689,0.0180924117166508,4.44564992661787,0.0449720534623629,0.115893004178575,16.8002006204084,0.554147284434697,0.363967798831585,0.554147284434697,FALSE
"WAS",0.107194529674398,0.0234416613236467,4.57282136254846,0.0612497177422646,0.153139341606531,17.6649307970912,0.530717903247733,0.489481530283165,0.530717903247733,FALSE
"BOS",0.0585463855106122,0.0198426718088666,2.9505293477893,0.0196554634081854,0.097437307613039,8.30025550438147,0.483855170265406,0.440395376998088,0.483855170265406,FALSE
"CIN",0.0695068272751764,0.0191777660712383,3.62434430668225,0.0319190964716152,0.107094558078738,11.7531752567759,0.51925592401572,0.489367341240913,0.51925592401572,FALSE
"SDN",0.0944435303752034,0.020064273474887,4.70704959705675,0.0551182769884625,0.133768783761944,18.6019984428658,0.529623215304481,0.480939748688765,0.529623215304481,FALSE
"SFN",0.106471860178072,0.0185722436216589,5.73284856407464,0.0700709315675165,0.142872788788627,26.593458117975,0.501670289630019,0.365904751418543,0.501670289630019,FALSE
"SLN",0.10425632355245,0.0177081760376489,5.88746821416239,0.0695489362867631,0.138963710818137,27.9259231148911,0.514487753784407,0.45251817344761,0.514487753784407,FALSE
"CLE",0.0799333461303632,0.0203211024100565,3.9335142610573,0.0401047172805024,0.119761974980224,13.5441910388747,0.536286145598134,0.492469332192592,0.536286145598134,FALSE
"HOU",0.10246183825426,0.0185928658838773,5.51081467989879,0.0660204907524774,0.138903185756043,24.7387870733005,0.483253691953627,0.360621417232065,0.483253691953627,FALSE
"MIA",0.0844892656910486,0.0189649970823834,4.45501074026162,0.0473185544426698,0.121659976939427,16.8630870055545,0.452856469554043,0.37857434486327,0.452856469554043,FALSE
"MIL",0.10433761780381,0.0209195801323397,4.987557931075,0.0633359941727244,0.145339241434895,20.6412081634729,0.519794187752368,0.341315298183302,0.519794187752368,FALSE
"ARI",0.090189458866474,0.0201911418334404,4.46678348408721,0.0506155480661907,0.129763369666757,16.942349245388,0.488887400758626,0.44396830335187,0.488887400758626,FALSE
"NYA",0.112291188719154,0.0214400454742852,5.23745105176356,0.0702694717626536,0.154312905675654,22.5503121328127,0.564290786764003,0.51946390504683,0.564290786764003,FALSE
"OAK",0.103358144571148,0.0198038086139099,5.21910439482589,0.0645433929311604,0.142172896211135,22.4071806214067,0.486696684337239,0.436780356290689,0.486696684337239,FALSE
"SEA",0.083556062459688,0.0179393485439629,4.65769770038873,0.0483955854074097,0.118716539511966,18.2545552098536,0.45098049890924,0.532812944223427,0.45098049890924,FALSE
"TBA",0.130066234085657,0.0199948618915462,6.50498286965658,0.0908770249023741,0.16925544326894,33.5832529649748,0.550115049647811,0.362089232901234,0.550115049647811,FALSE
"TEX",0.114150622533761,0.0198164116969371,5.76040830598029,0.0753111693049463,0.152990075762576,26.8284979841798,0.472984733160235,0.482232786867605,0.472984733160235,FALSE
"ATL",0.107514699681286,0.0191073965788639,5.62686283489902,0.0700648905483889,0.144964508814183,25.6995146739084,0.535178472799046,0.563296931011519,0.535178472799046,FALSE
"BAL",0.0830097811876236,0.0188950104828732,4.39321170331529,0.0459762411536854,0.120043321221562,16.4501628095644,0.496332097043043,0.418882326218712,0.496332097043043,FALSE
"CHA",0.0611970157010729,0.0187277314505193,3.26772176666256,0.024491336545917,0.0979026948562288,9.84919474543619,0.526948371504263,0.380258527203917,0.526948371504263,FALSE
"MIN",0.102811316081534,0.0204082575484647,5.0377312143078,0.0628118662993251,0.142810765863742,21.0175174326754,0.516677975541898,0.433851074208646,0.516677975541898,FALSE
"TOR",0.142670555852422,0.025015647564322,5.70325255364975,0.0936407875764034,0.19170032412844,26.3422407288996,0.493244871089914,0.491522546780412,0.493244871089914,FALSE
"CHN",0.0715108924319507,0.0365278409358977,1.95770925956025,-8.23602354166342e-05,0.143104145099318,4.31432674075637,0.506227659683507,0.467954288227807,0.506227659683507,TRUE
"COL",0.173618039637775,0.0190762074983022,9.10128701699364,0.136229359979489,0.21100671929606,63.280424667061,0.446693976845826,0.371486067595662,0.446693976845826,FALSE
"LAN",0.115328010263018,0.021765387668581,5.2986885425201,0.0726686343230474,0.157987386202989,23.0314662472658,0.627394802381779,0.451421843878758,0.627394802381779,FALSE
"NYN",0.0852215302963455,0.0190667947106624,4.46963066365259,0.0478512993628285,0.122591761229863,16.96154726994,0.631817650140178,0.474867405016147,0.631817650140178,FALSE
"PIT",0.126622343072156,0.019234445731883,6.58310329484916,0.0889235221750753,0.164321163969237,34.337291228374,0.385866380885869,0.296624921062987,0.385866380885869,FALSE
