"Team","estimate","std.error","statistic","conf.low","conf.high","s.value","predicted_lo","predicted_hi","predicted","CI_Crosses_Zero"
"ANA",0.0939713763855076,0.0217451876822951,4.32147920535167,0.0513515916911452,0.13659116107987,15.9774964244532,0.466083864097071,0.490548691052917,0.490548691052917,FALSE
"DET",0.0828457294123441,0.0170282178305121,4.86520258531675,0.0494710357436377,0.11622042308105,19.7382430449136,0.355279020919336,0.669193935852921,0.669193935852921,FALSE
"KCA",0.0781637063379122,0.0209395059962446,3.73283430621192,0.0371230287312123,0.119204383944612,12.3667548490944,0.275442122096582,0.46123480460444,0.46123480460444,FALSE
"PHI",0.0750594987365341,0.0178502652427625,4.2049514511818,0.0400736217462326,0.110045375726836,15.2248269325604,0.552984163600678,0.442849140060649,0.442849140060649,FALSE
"WAS",0.050320887900431,0.0238662836415395,2.10845092835681,0.00354383151819607,0.0970979442826659,4.83683093439027,0.425894139697588,0.271865356017181,0.271865356017181,FALSE
"BOS",0.0561084576220388,0.0166990704470108,3.35997490399727,0.0233788809706004,0.0888380342734773,10.3251716313615,0.403168796165315,0.4392724022955,0.4392724022955,FALSE
"CIN",0.0190586806200146,0.0224682001829308,0.848251326979612,-0.024978182535966,0.0630955437759953,1.33534234296489,0.555440475763754,0.577612756553305,0.577612756553305,TRUE
"SDN",0.05078166541569,0.0218830168725476,2.32059709643582,0.00789174047241437,0.0936715903589655,5.6217654680048,0.458561430972186,0.618374661177255,0.618374661177255,FALSE
"SFN",0.0829136120981,0.0236659346298977,3.50350042771408,0.0365292325630213,0.129297991633179,11.0886339801456,0.648412911235318,0.744156531027227,0.744156531027227,FALSE
"SLN",0.0615205043869137,0.0231387815750579,2.65876162006857,0.0161693258536613,0.106871682920166,6.99440751557739,0.46834172642973,0.498562092044005,0.498562092044005,FALSE
"CLE",0.0535346794493834,0.0172694901593333,3.09995714728444,0.0196871007057213,0.0873822581930454,9.01308809257701,0.442034399099673,0.613240283942165,0.613240283942165,FALSE
"HOU",0.0506978347179104,0.0184044712369422,2.75464771930789,0.0146257339390004,0.0867699354968204,7.41106381230852,0.536553077178125,0.597034198776539,0.597034198776539,FALSE
"MIA",0.0962014871846069,0.0244238850540113,3.93882819919376,0.0483315521161986,0.144071422253015,13.5761199850687,0.429716935263106,0.615785025920315,0.615785025920315,FALSE
"MIL",0.0687467574833208,0.0182339909373465,3.7702529149839,0.0330087919516919,0.10448472301495,12.5821131165696,0.509490136753868,0.615178597799647,0.615178597799647,FALSE
"ARI",0.0487494278641295,0.0207599662563311,2.34824215329649,0.00806064168145369,0.0894382140468054,5.72835410981471,0.474343395608012,0.482153126093128,0.482153126093128,FALSE
"NYA",0.104846470883603,0.0361032103439164,2.90407611635761,0.0340854788832526,0.175607462883953,8.0847516976352,0.417887270741522,0.708292295412692,0.708292295412692,FALSE
"OAK",0.0816225948112993,0.030335922602769,2.69062510081196,0.0221652790720774,0.141079910550521,7.1315121734747,0.502090488289368,0.662506538522791,0.662506538522791,FALSE
"SEA",0.051509112819028,0.0192464201428291,2.67629577016271,0.0137868225077566,0.0892314031302993,7.06968841361501,0.531575858424225,0.600931925350006,0.600931925350006,FALSE
"TBA",0.094802198699125,0.0257162425046082,3.68647164072033,0.0443992895723948,0.145205107825855,12.1025767658815,0.455978847915857,0.57350834650114,0.57350834650114,FALSE
"TEX",0.0834422336442471,0.0230221022955236,3.62444022588117,0.0383197422966239,0.12856472499187,11.7537106406,0.28551138589633,0.536127471043911,0.536127471043911,FALSE
"ATL",0.0438107713190634,0.018982684948349,2.30793333178476,0.00660539249042884,0.081016150147698,5.57327143656316,0.510568053233503,0.603893892417263,0.603893892417263,FALSE
"BAL",0.040673556260948,0.0171301157837406,2.37438887012977,0.00709914627381534,0.0742479662480807,5.83008306448109,0.43728867948649,0.528915124931875,0.528915124931875,FALSE
"CHA",0.0750110131542368,0.0189049989982323,3.96778720597926,0.0379578959899357,0.112064130318538,13.7508028273135,0.592434155990486,0.619222830697409,0.619222830697409,FALSE
"MIN",0.0500908144464242,0.018559757324686,2.69889382550274,0.0137143585282362,0.0864672703646122,7.16731133082037,0.422944434573843,0.434937465874753,0.434937465874753,FALSE
"TOR",0.117239232839306,0.0211415083437628,5.54545262017194,0.0758026379066783,0.158675827771935,25.023565617126,0.394120100684662,0.570350401249892,0.570350401249892,FALSE
"CHN",0.0473791083299744,0.0577600669436093,0.820274470530484,-0.0658285426241223,0.160586759284071,1.27907487379451,0.409955765409355,0.461245497925564,0.461245497925564,TRUE
"COL",0.153553213484415,0.0197010344459217,7.7941700932461,0.114939895512225,0.192166531456604,47.1321894072312,0.452934533450838,0.628627402628383,0.628627402628383,FALSE
"LAN",0.0700116729565194,0.0333930545033184,2.09659385755089,0.00456248879623233,0.135460857116806,4.7946758172015,0.460974875020604,0.550590024888146,0.550590024888146,FALSE
"NYN",0.0689463647456436,0.0185261530289471,3.72156942879156,0.0326357720368297,0.105256957454457,12.3022963865833,0.404993046479238,0.425830245701054,0.425830245701054,FALSE
"PIT",0.0920413631576578,0.0228875197932762,4.02146514733751,0.0471826486673887,0.136900077647927,14.0776411026323,0.439625634575211,0.519773268489445,0.519773268489445,FALSE
